Data;Quantidade (Emissor);Quantidade (Parte Obrigada);Quantidade (Parte Não Obrigada) Instituição Financeira;Quantidade (Parte Não Obrigada) Cliente;Quantidade (Parte Não Obrigada Total);Totalização
16/04/2026;13.573.128;9.721.098;1.512;131.483;132.995;23.427.221;
17/04/2026;14.190.125;9.794.406;512;131.483;131.995;24.116.526;
20/04/2026;14.177.967;9.931.204;491;131.483;131.974;24.241.145;
22/04/2026;14.138.433;10.046.929;29;131.483;131.512;24.316.874;
23/04/2026;13.949.847;10.309.759;48.819;138.983;187.802;24.447.408;
24/04/2026;13.803.536;10.650.328;333;138.983;139.316;24.593.180;
27/04/2026;13.814.018;10.777.402;5.948;141.416;147.364;24.738.784;
28/04/2026;13.814.203;10.918.212;2.404;141.416;143.820;24.876.235;
29/04/2026;13.853.602;11.127.206;7.596;141.416;149.012;25.129.820;
30/04/2026;13.743.792;11.312.275;2.861;141.416;144.277;25.200.344;
04/05/2026;13.829.029;11.416.240;648;148.983;149.631;25.394.900;
05/05/2026;13.883.882;11.498.394;663;148.983;149.646;25.531.922;
06/05/2026;13.806.434;11.644.668;7.538;148.983;156.521;25.607.623;
07/05/2026;13.680.257;11.921.699;2.363;148.983;151.346;25.753.302;
08/05/2026;13.688.022;12.055.230;277;148.983;149.260;25.892.512;
