Data,Preço Médio,Emissor
2020-11-01,64.61111111,5113245
2020-11-02,64.61111111,5113245
2020-11-03,64.61111111,5113245
2020-11-04,59.68505017,5411992
2020-11-05,51.75325725,5700376
2020-11-06,51.75325725,5700376
2020-11-07,51.75325725,5700376
2020-11-08,51.75325725,5700376
2020-11-09,48.0453765,5926614
2020-11-10,45.9098005,5853415
2020-11-11,37.2881,5932086
2020-11-12,39.58852165,5972846
2020-11-13,39.58852165,5972846
2020-11-14,39.58852165,5972846
2020-11-15,39.58852165,5972846
2020-11-16,40.68998056,5985662
2020-11-17,47.96447787,5988645
2020-11-18,48.59368037,6012370
2020-11-19,48.01233333,6069311
2020-11-20,48.01233333,6069311
2020-11-21,48.01233333,6069311
2020-11-22,48.01233333,6069311
2020-11-23,45.48,6296996
2020-11-24,44.8217391,6353465
2020-11-25,41.35619972,6498026
2020-11-26,40.59553854,6380715
2020-11-27,40.59553854,6380715
2020-11-28,40.59553854,6380715
2020-11-29,40.59553854,6380715
2020-11-30,40.32925284,6355644
2020-12-01,40.07519625,6428707
2020-12-02,42.54216412,5907997
2020-12-03,42.41152677,5891500
2020-12-04,42.27806586,5833189
2020-12-05,42.27806586,5833189
2020-12-06,42.27806586,5833189
2020-12-07,42.16552827,6028591
2020-12-08,44.74190672,5956172
2020-12-09,46.99280387,5532821
2020-12-10,48.71304098,5202150
2020-12-11,48.71304098,5202150
2020-12-12,48.71304098,5202150
2020-12-13,48.71304098,5202150
2020-12-14,48.88811453,4557266
2020-12-15,41.63332921,4599763
2020-12-16,38.3526155,4552097
2020-12-17,34.49392782,4420910
2020-12-18,34.49392782,4420910
2020-12-19,34.49392782,4420910
2020-12-20,34.49392782,4420910
2020-12-21,33.12549253,4482493
2020-12-22,33.91611336,4444559
2020-12-23,36.507771,4259295
2020-12-24,35.55656205,4009732
2020-12-25,35.55656205,4009732
2020-12-26,35.55656205,4009732
2020-12-27,35.55656205,4009732
2020-12-28,36.31230291,3973222
2020-12-29,36.13402272,4018592
2020-12-30,37.28360941,3749603
2020-12-31,31.044493,3612363
2021-01-01,31.044493,3612363
2021-01-02,31.044493,3612363
2021-01-03,31.044493,3612363
2021-01-04,30.28486173,3685570
2021-01-05,30.28486173,3685570
2021-01-06,30.76960611,3845214
2021-01-07,30.0,3848685
2021-01-08,30.0,3848685
2021-01-09,30.0,3848685
2021-01-10,30.0,3848685
2021-01-11,31.2017986,4055946
2021-01-12,31.8125,4108762
2021-01-13,32.02564375,4203240
2021-01-14,31.99900384,4189839
2021-01-15,31.99900384,4189839
2021-01-16,31.99900384,4189839
2021-01-17,31.99900384,4189839
2021-01-18,31.904908,4234797
2021-01-19,31.80769231,4340258
2021-01-20,31.97759214,4629701
2021-01-21,32.21837315,4814902
2021-01-22,32.21837315,4814902
2021-01-23,32.21837315,4814902
2021-01-24,32.21837315,4814902
2021-01-25,32.0,5031995
2021-01-26,31.91666667,5121182
2021-01-27,31.9753145,5217707
2021-01-28,32.01014085,5231575
2021-01-29,32.08988156,5130472
2021-01-30,32.08988156,5130472
2021-01-31,32.08988156,5130472
2021-02-01,32.10195492,5104218
2021-02-02,32.14062318,5153952
2021-02-03,32.29025913,5309784
2021-02-04,32.19238547,5335238
2021-02-05,32.19238547,5335238
2021-02-06,32.19238547,5335238
2021-02-07,32.19238547,5335238
2021-02-08,32.10464427,5364436
2021-02-09,32.31,5402919
2021-02-10,32.3563854,5502307
2021-02-11,32.12599435,5512309
2021-02-12,32.12599435,5512309
2021-02-13,32.12599435,5512309
2021-02-14,32.12599435,5512309
2021-02-15,32.12599435,5512309
2021-02-16,32.12599435,5512309
2021-02-17,32.29,5612804
2021-02-18,32.03925217,5796255
2021-02-19,32.11672827,6174043
2021-02-20,32.11672827,6174043
2021-02-21,32.11672827,6174043
2021-02-22,32.13034146,6398758
2021-02-23,32.1491516,6333344
2021-02-24,32.12608658,6387475
2021-02-25,32.10792473,6399369
2021-02-26,32.09754717,6534671
2021-02-27,32.09754717,6534671
2021-02-28,32.09754717,6534671
2021-03-01,32.07352941,6463078
2021-03-02,32.01642248,6531902
2021-03-03,31.75602445,6653539
2021-03-04,31.33672378,6657335
2021-03-05,30.2797875,6586266
2021-03-06,30.2797875,6586266
2021-03-07,30.2797875,6586266
2021-03-08,30.30142333,6599890
2021-03-09,30.132031,6595117
2021-03-10,29.83124806,6736048
2021-03-11,29.81288965,6861315
2021-03-12,30.47,6871489
2021-03-13,30.47,6871489
2021-03-14,30.47,6871489
2021-03-15,29.84671043,6973737
2021-03-16,29.56076533,6898854
2021-03-17,29.51555535,6903122
2021-03-18,29.33581926,7201494
2021-03-19,29.28709436,7174133
2021-03-20,29.28709436,7174133
2021-03-21,29.28709436,7174133
2021-03-22,29.06646752,7142022
2021-03-23,28.83847319,7067944
2021-03-24,28.64511128,7199257
2021-03-25,28.57783223,7606510
2021-03-26,28.52264389,7555456
2021-03-27,28.52264389,7555456
2021-03-28,28.52264389,7555456
2021-03-29,28.46997429,7596433
2021-03-30,28.11183298,7542366
2021-03-31,28.48507846,7496416
2021-04-01,28.73234408,7377477
2021-04-02,28.73234408,7377477
2021-04-03,28.73234408,7377477
2021-04-04,28.73234408,7377477
2021-04-05,28.97272727,7375612
2021-04-06,29.39853618,7644885
2021-04-07,29.98821545,7643587
2021-04-08,30.48869565,7483076
2021-04-09,30.48869565,7483076
2021-04-10,30.48869565,7483076
2021-04-11,30.48869565,7483076
2021-04-12,30.90131714,7292856
2021-04-13,30.92586207,7204457
2021-04-14,30.96596774,7210100
2021-04-15,30.996,7162089
2021-04-16,30.99982456,7157138
2021-04-17,30.99982456,7157138
2021-04-18,30.99982456,7157138
2021-04-19,30.73088747,7017701
2021-04-20,30.95361417,7085736
2021-04-21,30.95361417,7085736
2021-04-22,31.15982817,7266899
2021-04-23,31.18944635,7390809
2021-04-24,31.18944635,7390809
2021-04-25,31.18944635,7390809
2021-04-26,31.10161181,7530334
2021-04-27,31.01106457,7706678
2021-04-28,30.92433184,7741205
2021-04-29,30.89903004,7713177
2021-04-30,30.79211297,7690124
2021-05-01,30.79211297,7690124
2021-05-02,30.79211297,7690124
2021-05-03,30.70108696,7576235
2021-05-04,31.30511715,7586657
2021-05-05,30.74048846,7689063
2021-05-06,30.7275448,7702769
2021-05-07,30.70519227,7671899
2021-05-08,30.70519227,7671899
2021-05-09,30.70519227,7671899
2021-05-10,30.6875,7602076
2021-05-11,30.67865484,7621559
2021-05-12,30.47243035,7618594
2021-05-13,30.65694437,7498525
2021-05-14,30.67375338,7450124
2021-05-15,30.67375338,7450124
2021-05-16,30.67375338,7450124
2021-05-17,30.6712217,7333521
2021-05-18,30.61215281,7227764
2021-05-19,30.63881316,7511092
2021-05-20,30.58406594,7489951
2021-05-21,30.54883854,7431815
2021-05-22,30.54883854,7431815
2021-05-23,30.54883854,7431815
2021-05-24,30.49715071,7769346
2021-05-25,30.50039669,7919778
2021-05-26,30.44973752,7950305
2021-05-27,30.42709834,7892653
2021-05-28,30.42709834,7892653
2021-05-29,30.42709834,7892653
2021-05-30,30.42709834,7892653
2021-05-31,30.03111111,7813310
2021-06-01,29.62356291,7829626
2021-06-02,29.65732087,7789964
2021-06-03,29.65732087,7789964
2021-06-04,29.59110814,7866606
2021-06-05,29.59110814,7866606
2021-06-06,29.59110814,7866606
2021-06-07,29.5509681,7995563
2021-06-08,29.57482589,8058811
2021-06-09,29.18695644,7982075
2021-06-10,28.5695432,7872170
2021-06-11,28.51520833,7766507
2021-06-12,28.51520833,7766507
2021-06-13,28.51520833,7766507
2021-06-14,28.71929632,7803612
2021-06-15,28.42264954,7791282
2021-06-16,28.43770987,7887234
2021-06-17,28.38069731,7754468
2021-06-18,28.35563029,7819444
2021-06-19,28.35563029,7819444
2021-06-20,28.35563029,7819444
2021-06-21,28.4644786,7902769
2021-06-22,28.212,7853078
2021-06-23,28.17478217,8016510
2021-06-24,27.83438964,7930362
2021-06-25,27.97166667,7874611
2021-06-26,27.97166667,7874611
2021-06-27,27.97166667,7874611
2021-06-28,27.96161062,7963909
2021-06-29,27.93380808,8398893
2021-06-30,27.80409925,8471154
2021-07-01,27.77003585,8494055
2021-07-02,27.77003585,8494055
2021-07-03,27.77003585,8494055
2021-07-04,27.77003585,8494055
2021-07-05,27.72578055,8466993
2021-07-06,27.68497935,8552077
2021-07-07,27.63100587,8615842
2021-07-08,27.64318182,8592975
2021-07-09,27.44572727,8598837
2021-07-10,27.44572727,8598837
2021-07-11,27.44572727,8598837
2021-07-12,27.68676905,8653843
2021-07-13,27.60770999,8688128
2021-07-14,27.64588043,8674555
2021-07-15,27.59970428,8685890
2021-07-16,27.63165195,8623684
2021-07-17,27.63165195,8623684
2021-07-18,27.63165195,8623684
2021-07-19,27.58154848,8597325
2021-07-20,27.56665349,9195486
2021-07-21,27.56218435,9355118
2021-07-22,27.54569974,9338417
2021-07-23,27.5044036,9399615
2021-07-24,27.5044036,9399615
2021-07-25,27.5044036,9399615
2021-07-26,27.5354815,9464788
2021-07-27,27.52583521,9465028
2021-07-28,27.49229949,9517431
2021-07-29,27.51124708,9492262
2021-07-30,27.4787592,9459226
2021-07-31,27.4787592,9459226
2021-08-01,27.4787592,9459226
2021-08-02,27.58983769,9523302
2021-08-03,27.49247341,9584889
2021-08-04,27.53273163,9679923
2021-08-05,27.55855252,9725011
2021-08-06,27.51047863,9698444
2021-08-07,27.51047863,9698444
2021-08-08,27.51047863,9698444
2021-08-09,27.55546099,9641514
2021-08-10,27.49761003,9642164
2021-08-11,27.53087901,9808041
2021-08-12,27.52780876,9793611
2021-08-13,27.50382463,9730452
2021-08-14,27.50382463,9730452
2021-08-15,27.50382463,9730452
2021-08-16,27.57731038,9786826
2021-08-17,27.5348644,9760781
2021-08-18,27.54865369,10192437
2021-08-19,27.5350521,10387233
2021-08-20,27.56693211,10594086
2021-08-21,27.56693211,10594086
2021-08-22,27.56693211,10594086
2021-08-23,27.60788233,10604896
2021-08-24,27.63030436,10706732
2021-08-25,27.74955483,10829925
2021-08-26,27.82039876,10730298
2021-08-27,28.22428572,10733931
2021-08-28,28.22428572,10733931
2021-08-29,28.22428572,10733931
2021-08-30,29.91359449,10739075
2021-08-31,30.60554961,10326370
2021-09-01,31.25698993,10321949
2021-09-02,32.57266769,10336217
2021-09-03,36.46583456,10455434
2021-09-04,36.46583456,10455434
2021-09-05,36.46583456,10455434
2021-09-06,39.96520052,9607103
2021-09-07,39.96520052,9607103
2021-09-08,39.66781461,9714612
2021-09-09,39.66781461,9714612
2021-09-10,39.66781461,9714612
2021-09-11,39.66781461,9714612
2021-09-12,39.66781461,9714612
2021-09-13,45.93999565,8645663
2021-09-14,45.72943383,8614237
2021-09-15,43.72330386,8501539
2021-09-16,43.48376222,8271952
2021-09-17,43.52648773,7169734
2021-09-18,43.52648773,7169734
2021-09-19,43.52648773,7169734
2021-09-20,44.84697615,7260614
2021-09-21,47.30465478,6051095
2021-09-22,48.82742493,6206764
2021-09-23,48.30236779,6112266
2021-09-24,47.96277464,6102327
2021-09-25,47.96277464,6102327
2021-09-26,47.96277464,6102327
2021-09-27,47.66471142,6108774
2021-09-28,46.68414212,6082623
2021-09-29,45.91465201,6135316
2021-09-30,45.02895867,5990902
2021-10-01,44.70731683,5879398
2021-10-02,44.70731683,5879398
2021-10-03,44.70731683,5879398
2021-10-04,44.21856871,5790037
2021-10-05,44.05248967,5808365
2021-10-06,44.17054205,5798614
2021-10-07,44.01009784,5798374
2021-10-08,44.05620906,5783903
2021-10-09,44.05620906,5783903
2021-10-10,44.05620906,5783903
2021-10-11,43.96989839,5885905
2021-10-12,43.96989839,5885905
2021-10-13,43.83380442,5956202
2021-10-14,43.84178954,5989076
