Data;Ativo;Núm. de Negócios;Qtde (Parte Obrigada);Qtde (Parte Não Obrigada) Cliente;Qtde (Parte Não Obrigada) Inst. Financeira;Qtde (Parte Não Obrigada) Total;Total;Preço Mínimo;Preço Médio;Preço Máximo;Valor Financeiro;Liquidação
02/01/2026;CBIO;29;73.118;0;49.628;49.628;122.746;35,500000;36,753980;40,000000;4.511.404,00;D0;
05/01/2026;CBIO;38;35.433;53.292;0;53.292;88.725;36,000000;36,600642;37,000000;3.247.392,00;D0;
06/01/2026;CBIO;163;159.089;0;140.736;140.736;299.825;34,000000;35,746522;36,500000;10.717.701,00;D0;
07/01/2026;CBIO;80;76.488;0;75.765;75.765;152.253;34,000000;34,969817;36,000000;5.324.259,45;D0;
08/01/2026;CBIO;88;81.949;0;110.507;110.507;192.456;30,600000;32,390628;35,000000;6.233.770,65;D0;
09/01/2026;CBIO;127;201.399;0;221.023;221.023;422.422;27,400000;30,104520;34,000000;12.716.811,60;D0;
12/01/2026;CBIO;106;66.158;0;62.211;62.211;128.369;27,500000;27,965915;28,300000;3.589.956,50;D0;
13/01/2026;CBIO;56;55.822;0;43.416;43.416;99.238;26,800000;27,687411;28,500000;2.747.643,25;D0;
14/01/2026;CBIO;42;38.822;0;23.551;23.551;62.373;28,000000;28,541062;28,850000;1.780.191,69;D0;
15/01/2026;CBIO;58;80.095;0;93.551;93.551;173.646;28,150000;29,349361;29,900000;5.096.399,05;D0;
16/01/2026;CBIO;173;195.244;0;190.960;190.960;386.204;28,800000;29,510505;30,450000;11.397.075,00;D0;
19/01/2026;CBIO;46;65.750;0;42.550;42.550;108.300;29,200000;29,749783;30,250000;3.221.901,50;D0;
20/01/2026;CBIO;265;528.861;0;542.948;542.948;1.071.809;29,000000;30,020601;30,500000;32.176.350,35;D0;
21/01/2026;CBIO;190;189.038;20.000;203.808;223.808;412.846;29,750000;30,377823;30,850000;12.541.362,63;D0;
22/01/2026;CBIO;98;120.548;0;120.006;120.006;240.554;30,000000;30,556441;31,000000;7.350.474,00;D0;
23/01/2026;CBIO;316;265.969;0;290.092;290.092;556.061;30,000000;30,217221;30,700000;16.802.618,28;D0;
26/01/2026;CBIO;50;100.800;0;60.564;60.564;161.364;29,650000;29,908708;31,000000;4.826.188,65;D0;
27/01/2026;CBIO;107;171.426;0;91.146;91.146;262.572;28,800000;29,336877;30,000000;7.703.042,40;D0;
28/01/2026;CBIO;40;39.579;0;37.049;37.049;76.628;28,050000;29,284482;29,500000;2.244.011,30;D0;
29/01/2026;CBIO;137;111.793;0;95.488;95.488;207.281;28,050000;29,282837;29,700000;6.069.775,55;D0;
30/01/2026;CBIO;157;141.375;0;107.348;107.348;248.723;28,850000;29,363981;30,090000;7.303.497,52;D0;
02/02/2026;CBIO;107;144.896;0;125.789;125.789;270.685;29,450000;29,931611;30,300000;8.102.037,79;D0;
03/02/2026;CBIO;88;127.770;0;110.317;110.317;238.087;29,000000;29,638014;30,500000;7.056.425,92;D0;
04/02/2026;CBIO;131;167.242;0;145.508;145.508;312.750;29,100000;29,629402;29,900000;9.266.595,30;D0;
05/02/2026;CBIO;459;738.320;0;835.600;835.600;1.573.920;29,500000;30,162992;32,000000;47.474.136,90;D0;
06/02/2026;CBIO;250;285.222;0;346.122;346.122;631.344;30,000000;30,982076;31,600000;19.560.347,80;D0;
09/02/2026;CBIO;290;321.582;0;345.106;345.106;666.688;30,050000;32,014589;32,650000;21.343.742,35;D0;
10/02/2026;CBIO;1075;611.683;0;646.186;646.186;1.257.869;30,500000;33,015161;34,250000;41.528.747,55;D0;
11/02/2026;CBIO;236;204.523;0;262.718;262.718;467.241;32,400000;33,012754;33,500000;15.424.912,23;D0;
12/02/2026;CBIO;193;126.768;0;253.768;253.768;380.536;32,550000;33,079296;33,500000;12.587.863,00;D0;
13/02/2026;CBIO;372;135.764;0;373.434;373.434;509.198;32,050000;33,149106;33,500000;16.879.458,44;D0;
18/02/2026;CBIO;118;58.506;0;138.400;138.400;196.906;32,600000;33,005053;33,300000;6.498.893,04;D0;
19/02/2026;CBIO;67;85.954;0;83.954;83.954;169.908;32,000000;33,052305;33,300000;5.615.851,00;D0;
20/02/2026;CBIO;184;286.793;0;184.911;184.911;471.704;32,500000;33,040886;33,500000;15.585.518,01;D0;
23/02/2026;CBIO;129;80.720;0;335.080;335.080;415.800;32,700000;33,109842;33,850000;13.767.072,46;D0;
24/02/2026;CBIO;320;306.386;0;416.754;416.754;723.140;32,300000;33,041249;33,500000;23.893.449,02;D0;
25/02/2026;CBIO;127;152.010;0;152.215;152.215;304.225;32,050000;32,567446;32,990000;9.907.831,12;D0;
26/02/2026;CBIO;163;146.189;0;202.799;202.799;348.988;30,500000;32,081077;33,200000;11.195.910,91;D0;
27/02/2026;CBIO;102;90.903;0;70.663;70.663;161.566;30,800000;31,286262;34,000000;5.054.796,24;D0;
02/03/2026;CBIO;436;149.051;201;227.205;227.406;376.457;29,200000;30,451132;31,500000;11.463.541,94;D0;
03/03/2026;CBIO;112;98.472;0;78.757;78.757;177.229;29,100000;29,613544;30,200000;5.248.378,80;D0;
04/03/2026;CBIO;303;229.473;0;198.836;198.836;428.309;28,700000;29,137466;29,600000;12.479.839,01;D0;
05/03/2026;CBIO;183;160.483;0;134.469;134.469;294.952;28,560000;29,184002;32,000000;8.607.879,78;D0;
06/03/2026;CBIO;224;160.341;0;127.545;127.545;287.886;28,700000;29,081964;29,610000;8.372.290,20;D0;
09/03/2026;CBIO;104;125.044;0;113.126;113.126;238.170;28,620000;29,105195;31,650000;6.931.984,24;D0;
10/03/2026;CBIO;126;233.414;0;179.567;179.567;412.981;28,500000;29,105304;29,600000;12.019.937,57;D0;
11/03/2026;CBIO;163;164.722;0;153.990;153.990;318.712;28,500000;29,163915;29,700000;9.294.889,66;D0;
