Data;Ativo;Núm. de Negócios;Qtde (Parte Obrigada);Qtde (Parte Não Obrigada) Cliente;Qtde (Parte Não Obrigada) Inst. Financeira;Qtde (Parte Não Obrigada) Total;Total;Preço Mínimo;Preço Médio;Preço Máximo;Valor Financeiro;Liquidação
12/03/2026;CBIO;121;162.154;0;147.305;147.305;309.459;28,160000;29,163651;29,600000;9.024.954,20;D0;
13/03/2026;CBIO;146;174.462;0;138.393;138.393;312.855;28,850000;29,273292;29,900000;9.158.295,59;D0;
16/03/2026;CBIO;86;85.394;0;124.994;124.994;210.388;29,000000;29,211532;29,700000;6.145.755,80;D0;
17/03/2026;CBIO;230;173.884;0;196.845;196.845;370.729;28,650000;29,229871;29,800000;10.836.360,91;D0;
18/03/2026;CBIO;283;283.600;0;297.208;297.208;580.808;28,700000;29,288634;29,800000;17.011.073,00;D0;
19/03/2026;CBIO;263;377.586;0;326.349;326.349;703.935;28,850000;29,311440;29,900000;20.633.348,20;D0;
20/03/2026;CBIO;225;227.000;0;257.344;257.344;484.344;28,950000;29,350868;29,800000;14.215.916,85;D0;
23/03/2026;CBIO;128;186.732;0;210.301;210.301;397.033;28,830000;29,279555;29,600000;11.624.949,65;D0;
24/03/2026;CBIO;644;506.852;0;588.038;588.038;1.094.890;19,900000;29,217430;29,900000;31.989.871,72;D0;
25/03/2026;CBIO;387;265.748;0;381.036;381.036;646.784;28,800000;29,247531;29,800000;18.916.834,80;D0;
26/03/2026;CBIO;207;216.108;0;293.469;293.469;509.577;28,800000;29,255346;29,800000;14.907.851,50;D0;
27/03/2026;CBIO;246;301.240;0;440.202;440.202;741.442;28,250000;29,164226;29,700000;21.623.581,90;D0;
30/03/2026;CBIO;488;257.655;0;322.696;322.696;580.351;28,800000;29,220101;29,700000;16.957.914,60;D0;
31/03/2026;CBIO;277;359.701;0;492.159;492.159;851.860;24,240000;29,073735;29,700000;24.766.751,60;D0;
01/04/2026;CBIO;109;71.594;0;88.488;88.488;160.082;28,510000;29,107973;29,500000;4.659.662,60;D0;
02/04/2026;CBIO;92;43.020;5.000;53.413;58.413;101.433;28,650000;29,226373;29,800000;2.964.518,70;D0;
06/04/2026;CBIO;100;141.574;0;191.406;191.406;332.980;28,650000;29,154240;29,450000;9.707.778,68;D0;
07/04/2026;CBIO;113;85.800;5.000;92.952;97.952;183.752;28,600000;29,148937;29,650000;5.356.175,54;D0;
08/04/2026;CBIO;154;150.254;0;203.354;203.354;353.608;28,600000;29,120235;29,620000;10.297.147,88;D0;
09/04/2026;CBIO;135;212.315;0;292.693;292.693;505.008;28,600000;29,103626;29,600000;14.697.563,99;D0;
10/04/2026;CBIO;93;115.990;10.100;113.674;123.774;239.764;28,620000;29,120800;29,660000;6.982.119,57;D0;
13/04/2026;CBIO;191;161.704;0;245.984;245.984;407.688;28,700000;29,175163;29,690000;11.894.363,96;D0;
14/04/2026;CBIO;132;151.999;0;158.835;158.835;310.834;28,650000;29,155514;31,400000;9.062.524,90;D0;
15/04/2026;CBIO;270;242.601;5.000;286.479;291.479;534.080;28,600000;29,113735;29,600000;15.549.063,44;D0;
16/04/2026;CBIO;371;207.405;0;285.891;285.891;493.296;28,500000;29,112611;29,600000;14.361.134,63;D0;
17/04/2026;CBIO;99;103.607;0;117.029;117.029;220.636;28,770000;29,126017;29,400000;6.426.247,85;D0;
20/04/2026;CBIO;171;194.988;0;214.665;214.665;409.653;28,750000;29,098345;29,250000;11.920.224,36;D0;
22/04/2026;CBIO;153;133.825;0;160.422;160.422;294.247;28,650000;29,104883;29,360000;8.564.024,47;D0;
23/04/2026;CBIO;257;259.478;7.500;424.730;432.230;691.708;28,110000;29,038475;29,600000;20.086.145,41;D0;
24/04/2026;CBIO;237;309.393;0;258.380;258.380;567.773;28,600000;29,083342;29,500000;16.512.736,05;D0;
27/04/2026;CBIO;120;115.518;0;148.548;148.548;264.066;28,700000;29,090586;29,300000;7.681.834,65;D0;
28/04/2026;CBIO;184;164.652;0;193.341;193.341;357.993;28,050000;29,138233;30,240000;10.431.283,37;D0;
29/04/2026;CBIO;201;201.662;0;226.492;226.492;428.154;28,600000;29,142603;29,500000;12.477.521,92;D0;
30/04/2026;CBIO;194;303.674;0;377.453;377.453;681.127;28,770000;29,103053;29,370000;19.822.875,27;D0;
04/05/2026;CBIO;63;50.716;10.000;61.954;71.954;122.670;28,600000;29,178102;29,620000;3.579.277,72;D0;
05/05/2026;CBIO;169;140.709;0;130.724;130.724;271.433;28,610000;29,122054;30,100000;7.904.686,59;D0;
06/05/2026;CBIO;144;152.774;0;204.208;204.208;356.982;28,610000;29,101124;29,350000;10.388.577,33;D0;
07/05/2026;CBIO;206;284.519;0;304.344;304.344;588.863;28,600000;29,094924;29,410000;17.132.923,93;D0;
08/05/2026;CBIO;165;168.589;0;172.537;172.537;341.126;28,700000;29,074544;29,950000;9.918.082,84;D0;
