,Data,Preço Médio,Emissor
170,2020-10-15,20.0,5444108.0
171,2020-10-16,20.0,5444108.0
172,2020-10-17,20.0,5444108.0
173,2020-10-18,20.0,5444108.0
174,2020-10-19,50.23694767,5858491.0
175,2020-10-20,50.19293354,6110506.0
176,2020-10-21,50.96493582,5791302.0
177,2020-10-22,54.85142017,5868032.0
178,2020-10-23,54.85142017,5868032.0
179,2020-10-24,54.85142017,5868032.0
180,2020-10-25,54.85142017,5868032.0
181,2020-10-26,61.7346154,4780142.0
182,2020-10-27,62.46666667,4993330.0
183,2020-10-28,61.44390496,5048656.0
184,2020-10-29,64.61111111,5113245.0
185,2020-10-30,64.61111111,5113245.0
186,2020-10-31,64.61111111,5113245.0
187,2020-11-01,64.61111111,5113245.0
188,2020-11-02,64.61111111,5113245.0
189,2020-11-03,64.61111111,5113245.0
190,2020-11-04,59.68505017,5411992.0
191,2020-11-05,51.75325725,5700376.0
192,2020-11-06,51.75325725,5700376.0
193,2020-11-07,51.75325725,5700376.0
194,2020-11-08,51.75325725,5700376.0
195,2020-11-09,48.0453765,5926614.0
196,2020-11-10,45.9098005,5853415.0
197,2020-11-11,37.2881,5932086.0
198,2020-11-12,39.58852165,5972846.0
199,2020-11-13,39.58852165,5972846.0
200,2020-11-14,39.58852165,5972846.0
201,2020-11-15,39.58852165,5972846.0
202,2020-11-16,40.68998056,5985662.0
203,2020-11-17,47.96447787,5988645.0
204,2020-11-18,48.59368037,6012370.0
205,2020-11-19,48.01233333,6069311.0
206,2020-11-20,48.01233333,6069311.0
207,2020-11-21,48.01233333,6069311.0
208,2020-11-22,48.01233333,6069311.0
209,2020-11-23,45.48,6296996.0
210,2020-11-24,44.8217391,6353465.0
211,2020-11-25,41.35619972,6498026.0
212,2020-11-26,40.59553854,6380715.0
213,2020-11-27,40.59553854,6380715.0
214,2020-11-28,40.59553854,6380715.0
215,2020-11-29,40.59553854,6380715.0
216,2020-11-30,40.32925284,6355644.0
217,2020-12-01,40.07519625,6428707.0
218,2020-12-02,42.54216412,5907997.0
219,2020-12-03,42.41152677,5891500.0
220,2020-12-04,42.27806586,5833189.0
221,2020-12-05,42.27806586,5833189.0
222,2020-12-06,42.27806586,5833189.0
223,2020-12-07,42.16552827,6028591.0
224,2020-12-08,44.74190672,5956172.0
225,2020-12-09,46.99280387,5532821.0
226,2020-12-10,48.71304098,5202150.0
227,2020-12-11,48.71304098,5202150.0
228,2020-12-12,48.71304098,5202150.0
229,2020-12-13,48.71304098,5202150.0
230,2020-12-14,48.88811453,4557266.0
231,2020-12-15,41.63332921,4599763.0
232,2020-12-16,38.3526155,4552097.0
233,2020-12-17,34.49392782,4420910.0
234,2020-12-18,34.49392782,4420910.0
235,2020-12-19,34.49392782,4420910.0
236,2020-12-20,34.49392782,4420910.0
237,2020-12-21,33.12549253,4482493.0
238,2020-12-22,33.91611336,4444559.0
239,2020-12-23,36.507771,4259295.0
240,2020-12-24,35.55656205,4009732.0
241,2020-12-25,35.55656205,4009732.0
242,2020-12-26,35.55656205,4009732.0
243,2020-12-27,35.55656205,4009732.0
244,2020-12-28,36.31230291,3973222.0
245,2020-12-29,36.13402272,4018592.0
246,2020-12-30,37.28360941,3749603.0
247,2020-12-31,31.044493,3612363.0
248,2021-01-01,31.044493,3612363.0
249,2021-01-02,31.044493,3612363.0
250,2021-01-03,31.044493,3612363.0
251,2021-01-04,30.28486173,3685570.0
252,2021-01-05,30.28486173,3685570.0
253,2021-01-06,30.76960611,3845214.0
254,2021-01-07,30.0,3848685.0
255,2021-01-08,30.0,3848685.0
